ano_civil_exame,fase,disciplina_oficial,disciplina_portal,media_nacional_0_200,media_nacional_0_20,formato_origem
2023,1,Biologia e Geologia,BIO.GEO.,114,11.4,C
2023,1,Francês,,144,14.4,C
2023,1,História A,HIST.A,115,11.5,C
2023,1,Espanhol (iniciação),,134,13.4,C
2023,1,Espanhol (continuação),,112,11.2,C
2023,1,Economia A,ECON.A,120,12.0,C
2023,1,Alemão,,150,15.0,C
2023,1,Física e Química A,FÍS.QUÍM.A,112,11.2,C
2023,1,Literatura Portuguesa,LIT.PORT.,116,11.6,C
2023,1,Filosofia,FILO.,111,11.1,C
2023,1,Matemática A,MAT.A,110,11.0,C
2023,1,Matemática B,MAT.B,113,11.3,C
2023,1,Matemática Aplic. às Ciências Soc.,MACS,121,12.1,C
2023,1,Latim A,,147,14.7,C
2023,1,Desenho A,DES.A,137,13.7,C
2023,1,Inglês,,148,14.8,C
2023,1,Geometria Descritiva A,GEO.DESC.A,97,9.7,C
2023,1,História B,HIST. B,115,11.5,C
2023,2,Física e Química A,FÍS.QUÍM.A,117,11.7,C
2023,2,Literatura Portuguesa,LIT.PORT.,91,9.1,C
2023,2,Economia A,ECON.A,124,12.4,C
2023,2,Português Língua Segunda,,111,11.1,C
2023,2,Português,PORT.,104,10.4,C
2023,2,Geografia A,GEOG.A,103,10.3,C
2023,2,História da Cultura e das Artes,HCA,118,11.8,C
2023,2,Matemática A,MAT.A,95,9.5,C
2023,2,Matemática B,MAT.B,104,10.4,C
2023,2,Matemática Aplic. às Ciências Soc.,MACS,98,9.8,C
2023,2,Filosofia,FILO.,101,10.1,C
2023,2,História A,HIST.A,108,10.8,C
2023,2,Geometria Descritiva A,GEO.DESC.A,113,11.3,C
2023,2,História B,HIST. B,118,11.8,C
2023,2,Biologia e Geologia,BIO.GEO.,109,10.9,C
2023,2,Desenho A,DES.A,139,13.9,C
2023,2,Inglês,,142,14.2,C
2023,2,Alemão,,114,11.4,C
2023,2,Francês,,115,11.5,C
2023,2,Espanhol (iniciação),,124,12.4,C
2023,2,Espanhol (continuação),,117,11.7,C
2023,2,Mandarim (iniciação),,169,16.9,C
2024,1,Português Língua Segunda,,129,12.9,C
2024,1,Português,PORT.,111,11.1,C
2024,1,Português Língua Não Materna,,135,13.5,C
2024,1,Mandarim (iniciação),,170,17.0,C
2024,1,Italiano (iniciação),,136,13.6,C
2024,1,Geografia A,GEOG.A,103,10.3,C
2024,1,História da Cultura e das Artes,HCA,119,11.9,C
2024,1,Biologia e Geologia,BIO.GEO.,99,9.9,C
2024,1,Francês,,138,13.8,C
2024,1,História A,HIST.A,124,12.4,C
2024,1,Espanhol (iniciação),,143,14.3,C
2024,1,Espanhol (continuação),,130,13.0,C
2024,1,Economia A,ECON.A,127,12.7,C
2024,1,Alemão,,122,12.2,C
2024,1,Física e Química A,FÍS.QUÍM.A,116,11.6,C
2024,1,Literatura Portuguesa,LIT.PORT.,114,11.4,C
2024,1,Filosofia,FILO.,105,10.5,C
2024,1,Matemática A,MAT.A,121,12.1,C
2024,1,Matemática B,MAT.B,115,11.5,C
2024,1,Matemática Aplic. às Ciências Soc.,MACS,118,11.8,C
2024,1,Latim A,,102,10.2,C
2024,1,Desenho A,DES.A,144,14.4,C
2024,1,Inglês,,141,14.1,C
2024,1,Geometria Descritiva A,GEO.DESC.A,108,10.8,C
2024,1,História B,HIST. B,122,12.2,C
2024,2,Física e Química A,FÍS.QUÍM.A,107,10.7,C
2024,2,Literatura Portuguesa,LIT.PORT.,83,8.3,C
2024,2,Economia A,ECON.A,117,11.7,C
2024,2,Latim A,,139,13.9,C
2024,2,Português Língua Segunda,,153,15.3,C
2024,2,Português,PORT.,113,11.3,C
2024,2,Português Língua Não Materna,,114,11.4,C
2024,2,Geografia A,GEOG.A,101,10.1,C
2024,2,História da Cultura e das Artes,HCA,110,11.0,C
2024,2,Matemática A,MAT.A,96,9.6,C
2024,2,Matemática B,MAT.B,107,10.7,C
2024,2,Matemática Aplic. às Ciências Soc.,MACS,104,10.4,C
2024,2,Filosofia,FILO.,99,9.9,C
2024,2,História A,HIST.A,114,11.4,C
2024,2,Geometria Descritiva A,GEO.DESC.A,104,10.4,C
2024,2,História B,HIST. B,101,10.1,C
2024,2,Biologia e Geologia,BIO.GEO.,101,10.1,C
2024,2,Desenho A,DES.A,145,14.5,C
2024,2,Inglês,,151,15.1,C
2024,2,Alemão,,115,11.5,C
2024,2,Francês,,113,11.3,C
2024,2,Espanhol (iniciação),,121,12.1,C
2024,2,Espanhol (continuação),,107,10.7,C
2024,2,Italiano (iniciação),,187,18.7,C
