aluno_id,ano_letivo,nivel,ano_turma,turma,disciplina,fase,nota_exame_original,escala_original,nota_exame_norm_0_20,nota_p1,nota_p2,nota_p3,cif,cfd,epoca_atipica
1418,2016/2017,Ensino Secundário,11º,16/17 - 11º ANO A1,BIO.GEO.,CE2,182,0-200,18.2,18,18,18,18,18,False
1418,2016/2017,Ensino Secundário,11º,16/17 - 11º ANO A1,FÍS.QUÍM.A,CE1,161,0-200,16.1,17,19,19,18,18,False
1418,2016/2017,Ensino Secundário,11º,16/17 - 11º ANO A1,FÍS.QUÍM.A,CE2,166,0-200,16.6,17,19,19,18,18,False
1418,2017/2018,Ensino Secundário,12º,17/18 - 12º ANO A1,MAT.A,CE1,177,0-200,17.7,19,19,19,19,19,False
1418,2017/2018,Ensino Secundário,12º,17/18 - 12º ANO A1,MAT.A,CE2,199,0-200,19.9,19,19,19,19,19,False
1418,2017/2018,Ensino Secundário,12º,17/18 - 12º ANO A1,PORT.,CE1,145,0-200,14.5,15,15,15,15,15,False
1420,2016/2017,Ensino Secundário,11º,16/17 - 11º ANO A2,FÍS.QUÍM.A,CE1,107,0-200,10.7,13,12,13,14,14,False
1420,2016/2017,Ensino Secundário,11º,16/17 - 11º ANO A2,FÍS.QUÍM.A,CE2,138,0-200,13.8,13,12,13,14,14,False
1420,2016/2017,Ensino Secundário,11º,16/17 - 11º ANO A2,GEO.DESC.A,CE1,130,0-200,13.0,15,14,16,17,18,False
1420,2016/2017,Ensino Secundário,11º,16/17 - 11º ANO A2,GEO.DESC.A,CE2,185,0-200,18.5,15,14,16,17,18,False
1420,2017/2018,Ensino Secundário,12º,17/18 - 12º ANO A2,MAT.A,CE1,122,0-200,12.2,12,13,12,13,13,False
1420,2017/2018,Ensino Secundário,12º,17/18 - 12º ANO A2,MAT.A,CE2,125,0-200,12.5,12,13,12,13,13,False
1420,2017/2018,Ensino Secundário,12º,17/18 - 12º ANO A2,PORT.,CE1,92,0-200,9.2,12,12,14,13,12,False
1420,2017/2018,Ensino Secundário,12º,17/18 - 12º ANO A2,PORT.,CE2,86,0-200,8.6,12,12,14,13,12,False
1425,2016/2017,Ensino Secundário,11º,16/17 - 11º ANO D,GEO.DESC.A,CE1,103,0-200,10.3,10,9,9,11,11,False
1425,2016/2017,Ensino Secundário,11º,16/17 - 11º ANO D,MAT.B,CE1,108,0-200,10.8,12,10,11,11,11,False
1425,2017/2018,Ensino Secundário,12º,17/18 - 12º ANO D,DES.A,CE1,158,0-200,15.8,14,14,14,14,15,False
