aluno_id,ano_letivo,turma,disciplina,fase,nota_exame_norm_0_20,nota_p1,nota_p2,nota_p3,cif
811,2016/2017,16/17 - 12º ANO B,PORT.,CE2,16.1,16,17,18,17
813,2016/2017,16/17 - 11º ANO A2,FÍS.QUÍM.A,CE1,10.0,16,16,16,15
813,2016/2017,16/17 - 11º ANO A2,FÍS.QUÍM.A,CE2,13.6,16,16,16,15
813,2016/2017,16/17 - 11º ANO A2,GEO.DESC.A,CE1,16.8,19,17,19,19
813,2017/2018,17/18 - 12º ANO A2,MAT.A,CE1,16.1,18,18,18,18
813,2017/2018,17/18 - 12º ANO A2,MAT.A,CE2,18.5,18,18,18,18
813,2017/2018,17/18 - 12º ANO A2,PORT.,CE1,11.5,12,13,13,13
814,2016/2017,16/17 - 11º ANO A1,BIO.GEO.,CE1,12.0,11,13,13,13
814,2016/2017,16/17 - 11º ANO A1,FÍS.QUÍM.A,CE1,7.6,13,13,13,13
814,2016/2017,16/17 - 11º ANO A1,FÍS.QUÍM.A,CE2,12.0,13,13,13,13
814,2017/2018,17/18 - 12º ANO A1,MAT.A,CE1,11.9,9,11,10,12
814,2017/2018,17/18 - 12º ANO A1,PORT.,CE1,14.1,14,16,14,15
816,2016/2017,16/17 - 11º ANO C,FILO.,CE1,18.3,19,19,20,18
816,2016/2017,16/17 - 11º ANO C,LIT.PORT.,CE1,18.8,17,18,18,18
816,2017/2018,17/18 - 12º ANO C,HIST.A,CE1,18.0,18,18,19,19
816,2017/2018,17/18 - 12º ANO C,PORT.,CE1,18.0,18,18,20,19
817,2016/2017,16/17 - 11º ANO A2,FÍS.QUÍM.A,CE1,11.6,16,15,15,16
817,2016/2017,16/17 - 11º ANO A2,GEO.DESC.A,CE1,13.8,16,14,16,15
817,2017/2018,17/18 - 12º ANO A2,MAT.A,CE1,13.9,14,15,15,15
817,2017/2018,17/18 - 12º ANO A2,MAT.A,CE2,10.7,14,15,15,15
817,2017/2018,17/18 - 12º ANO A2,PORT.,CE1,15.1,16,15,16,16
817,2017/2018,17/18 - 12º ANO A2,PORT.,CE2,10.5,16,15,16,16
825,2017/2018,17/18 - 11º ANO A3,FÍS.QUÍM.A,CE1,18.7,19,19,19,19
825,2017/2018,17/18 - 11º ANO A3,GEO.DESC.A,CE1,19.8,20,20,20,20
825,2018/2019,18/19 - 12º ANO A3,MAT.A,CE1,19.0,19,19,19,19
825,2018/2019,18/19 - 12º ANO A3,PORT.,CE1,17.8,18,18,18,18
827,2017/2018,17/18 - 11º ANO B,ECON.A,CE1,6.0,12,11,11,13
827,2017/2018,17/18 - 11º ANO B,ECON.A,CE2,8.9,12,11,11,13
827,2017/2018,17/18 - 11º ANO B,FILO.,CE1,11.8,15,14,13,13
827,2017/2018,17/18 - 11º ANO B,FILO.,CE2,10.1,15,14,13,13
827,2018/2019,18/19 - 12º ANO B,MAT.A,CE1,14.8,13,16,16,15
827,2018/2019,18/19 - 12º ANO B,MAT.A,CE2,16.7,13,16,16,15
827,2018/2019,18/19 - 12º ANO B,PORT.,CE1,11.2,9,10,10,11
832,2017/2018,17/18 - 11º ANO A1,BIO.GEO.,CE1,16.1,18,17,17,18
832,2017/2018,17/18 - 11º ANO A1,BIO.GEO.,CE2,14.7,18,17,17,18
832,2017/2018,17/18 - 11º ANO A1,FÍS.QUÍM.A,CE1,15.5,18,18,18,18
832,2017/2018,17/18 - 11º ANO A1,FÍS.QUÍM.A,CE2,18.0,18,18,18,18
832,2018/2019,18/19 - 12º ANO A1,MAT.A,CE1,19.2,19,19,19,19
832,2018/2019,18/19 - 12º ANO A1,PORT.,CE1,16.1,18,17,17,18
833,2017/2018,17/18 - 11º ANO B,ECON.A,CE1,6.7,12,11,11,13
833,2017/2018,17/18 - 11º ANO B,ECON.A,CE2,12.5,12,11,11,13
833,2017/2018,17/18 - 11º ANO B,GEOG.A,CE1,11.8,14,13,14,14
833,2017/2018,17/18 - 11º ANO B,GEOG.A,CE2,13.0,14,13,14,14
833,2018/2019,18/19 - 12º ANO B,MAT.A,CE1,9.6,9,10,10,11
833,2018/2019,18/19 - 12º ANO B,MAT.A,CE2,12.7,9,10,10,11
833,2018/2019,18/19 - 12º ANO B,PORT.,CE1,4.9,9,10,10,10
833,2018/2019,18/19 - 12º ANO B,PORT.,CE2,8.7,9,10,10,10
834,2017/2018,17/18 - 11º ANO A2,BIO.GEO.,CE1,13.1,11,11,11,12
834,2017/2018,17/18 - 11º ANO A2,FÍS.QUÍM.A,CE1,6.5,11,10,11,12
834,2017/2018,17/18 - 11º ANO A2,FÍS.QUÍM.A,CE2,11.6,11,10,11,12
834,2018/2019,18/19 - 12º ANO A2,MAT.A,CE1,6.2,11,10,11,11
834,2018/2019,18/19 - 12º ANO A2,MAT.A,CE2,10.5,11,10,11,11
834,2018/2019,18/19 - 12º ANO A2,PORT.,CE1,11.7,12,12,12,12
835,2017/2018,17/18 - 11º ANO A3,FÍS.QUÍM.A,CE1,14.5,17,17,17,18
835,2017/2018,17/18 - 11º ANO A3,FÍS.QUÍM.A,CE2,14.8,17,17,17,18
835,2017/2018,17/18 - 11º ANO A3,GEO.DESC.A,CE1,19.9,19,18,19,20
835,2018/2019,18/19 - 12º ANO A3,MAT.A,CE1,17.7,16,17,16,17
835,2018/2019,18/19 - 12º ANO A3,PORT.,CE1,14.1,17,17,17,17
837,2017/2018,17/18 - 11º ANO C,FILO.,CE1,12.6,13,13,13,14
837,2017/2018,17/18 - 11º ANO C,MACS,CE1,14.6,14,13,14,14
838,2017/2018,17/18 - 11º ANO B,ECON.A,CE1,11.5,12,12,13,15
838,2017/2018,17/18 - 11º ANO B,ECON.A,CE2,14.1,12,12,13,15
838,2017/2018,17/18 - 11º ANO B,FILO.,CE1,12.6,14,14,14,14
838,2017/2018,17/18 - 11º ANO B,FILO.,CE2,12.0,14,14,14,14
838,2018/2019,18/19 - 12º ANO B,MAT.A,CE1,13.2,12,11,12,14
838,2018/2019,18/19 - 12º ANO B,MAT.A,CE2,15.5,12,11,12,14
838,2018/2019,18/19 - 12º ANO B,PORT.,CE1,10.5,13,13,13,14
838,2018/2019,18/19 - 12º ANO B,PORT.,CE2,8.5,13,13,13,14
839,2017/2018,17/18 - 11º ANO A2,BIO.GEO.,CE1,12.0,13,13,13,14
839,2017/2018,17/18 - 11º ANO A2,BIO.GEO.,CE2,14.0,13,13,13,14
839,2017/2018,17/18 - 11º ANO A2,FÍS.QUÍM.A,CE1,17.0,14,15,14,15
839,2018/2019,18/19 - 12º ANO A2,MAT.A,CE1,8.8,11,9,11,12
839,2018/2019,18/19 - 12º ANO A2,MAT.A,CE2,14.0,11,9,11,12
839,2018/2019,18/19 - 12º ANO A2,PORT.,CE1,14.5,14,15,15,15
841,2017/2018,17/18 - 11º ANO A1,BIO.GEO.,CE1,10.6,9,10,10,11
841,2017/2018,17/18 - 11º ANO A1,FÍS.QUÍM.A,CE1,8.1,10,11,10,11
841,2017/2018,17/18 - 11º ANO A1,FÍS.QUÍM.A,CE2,12.1,10,11,10,11
841,2018/2019,18/19 - 12º ANO A1,MAT.A,CE1,12.7,14,14,15,13
841,2018/2019,18/19 - 12º ANO A1,MAT.A,CE2,14.2,14,14,15,13
841,2018/2019,18/19 - 12º ANO A1,PORT.,CE1,14.7,15,13,13,13
843,2017/2018,17/18 - 11º ANO A2,BIO.GEO.,CE1,17.0,17,17,17,18
843,2017/2018,17/18 - 11º ANO A2,FÍS.QUÍM.A,CE1,19.8,18,19,19,19
843,2018/2019,18/19 - 12º ANO A2,MAT.A,CE1,18.6,19,19,20,20
843,2018/2019,18/19 - 12º ANO A2,PORT.,CE1,19.6,19,19,19,19
845,2017/2018,17/18 - 11º ANO A1,BIO.GEO.,CE1,14.6,18,17,17,18
845,2017/2018,17/18 - 11º ANO A1,BIO.GEO.,CE2,14.5,18,17,17,18
845,2017/2018,17/18 - 11º ANO A1,FÍS.QUÍM.A,CE1,18.6,18,17,17,18
845,2018/2019,18/19 - 12º ANO A1,MAT.A,CE1,19.8,18,17,19,19
845,2018/2019,18/19 - 12º ANO A1,PORT.,CE1,15.5,17,16,16,16
846,2017/2018,17/18 - 11º ANO B,ECON.A,CE1,13.3,10,9,10,13
846,2017/2018,17/18 - 11º ANO B,ECON.A,CE2,11.8,10,9,10,13
846,2017/2018,17/18 - 11º ANO B,GEOG.A,CE1,14.0,12,11,12,12
850,2017/2018,17/18 - 11º ANO A3,FÍS.QUÍM.A,CE1,13.6,17,18,17,17
850,2017/2018,17/18 - 11º ANO A3,FÍS.QUÍM.A,CE2,17.6,17,18,17,17
850,2017/2018,17/18 - 11º ANO A3,GEO.DESC.A,CE1,18.2,19,19,20,20
850,2017/2018,17/18 - 11º ANO A3,GEO.DESC.A,CE2,19.9,19,19,20,20
850,2018/2019,18/19 - 12º ANO A3,MAT.A,CE1,17.0,18,17,17,18
850,2018/2019,18/19 - 12º ANO A3,PORT.,CE1,15.7,16,16,17,17
851,2017/2018,17/18 - 11º ANO A1,FILO.,CE1,14.8,14,14,14,14
851,2017/2018,17/18 - 11º ANO A1,FÍS.QUÍM.A,CE1,14.7,14,14,13,14
